id;subject;recipient;body
1;innovate California;Generic architectures Concrete;SMS Fantastic
2;quantify mobile;Auto Usability;deposit USB
3;Nebraska SMTP Car;Account Clothing;Shoes Account Communications
4;bypass Avon virtual;circuit;solution Iowa
5;methodical invoice;Utah;dynamic Pants back-end
6;Uzbekistan seamless transmitting;array Shirt;groupware
7;Pizza Forward;dynamic orange;Maine well-modulated Avon
8;Auto synthesize solid;SSL bypass;Lilangeni
9;Plastic Poland challenge;Intuitive coherent Incredible;calculate Supervisor
10;Assistant;quantifying Arkansas;COM Rupee
